"id","name","section","name_updated"
6748,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
6816,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
1017,INDIAN PENAL CODE,"366","Indian Penal Code (IPC), 1860"
6743,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
6825,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
8271,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
6838,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
7190,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
6653,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
8614,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
2753,INDIAN PENAL CODE,"366","Indian Penal Code (IPC), 1860"
7174,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
6679,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
6842,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
8625,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
10168,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
9688,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
8640,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
8539,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
8666,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
2877,INDIAN PENAL CODE,"366","Indian Penal Code (IPC), 1860"
8650,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
10021,"INDIAN PENAL CODE, 1860","366","Indian Penal Code (IPC), 1860"
7353,"INDIAN PENAL CODE, 1860","366(A)","Indian Penal Code (IPC), 1860"
6704,"INDIAN PENAL CODE, 1860","366(A)","Indian Penal Code (IPC), 1860"
7969,"INDIAN PENAL CODE, 1860","366(A)","Indian Penal Code (IPC), 1860"
6536,"INDIAN PENAL CODE, 1860","366(A)","Indian Penal Code (IPC), 1860"
8265,"INDIAN PENAL CODE, 1860","366(A)","Indian Penal Code (IPC), 1860"
